"","file","word","n","f","tf_idf"
"1","1","data",43,51,2.54279569023904
"2","1","gartner",28,56,6.8073549220576
"3","1","mdm",26,16,5.53457601958256
"4","1","2018",23,56,8.73923436600706
"5","1","affiliates",23,56,8.73923436600706
"6","1","inc",23,56,8.73923436600706
"7","1","andor",22,56,9.17579233409437
"8","1","rights",22,56,9.17579233409437
"9","1","reserved",21,56,9.63266248561192
"10","1","application",19,24,8.70934359970606
"11","1","governance",18,36,10.102819805314
"12","1","management",17,46,11.219822546878
"13","1","master",16,24,10.0940094651855
"14","1","requirements",15,21,10.2479068988809
"15","1","enterprise",10,34,15.1299434550456
"16","1","use",9,51,17.5980542399873
"17","1","shared",8,16,14.036774610288
"18","1","1",7,55,20.344079140574
"19","1","2",7,55,20.344079140574
"20","1","3",7,56,20.4220647661728
"21","1","can",7,39,18.8562066565867
"22","1","enabling",7,12,13.7548875021635
"23","1","erp",7,11,13.3782948559119
"24","1","information",7,51,20.0172760259145
"25","1","issues",7,37,18.6283600968869
"26","1","scope",7,11,13.3782948559119
"27","1","business",6,48,21.2193332571086
"28","1","context",6,17,16.3938017034759
"29","1","hub",6,14,15.4911840675129
"30","1","technology",6,43,20.7079468430536
"31","1","centralized",5,16,17.4271341358512
"32","1","critical",5,18,18.0193952944852
"33","1","crm",5,9,14.5339684673149
"34","1","plm",5,3,9.00969764724259
"35","1","practice",5,11,15.5430225975296
"36","1","support",5,33,21.067293417602
"37","1","adm",4,7,14.4959515025163
"38","1","cost",4,22,20.7859938448556
"39","1","dependencies",4,2,7.61470984411521
"40","1","enable",4,14,18.3033064245739
"41","1","key",4,47,24.9556461264988
"42","1","local",4,21,20.5304662809137
"43","1","make",4,24,21.2639344666278
"44","1","michael",4,8,15.2294196882304
"45","1","moran",4,6,13.6492246225126
"46","1","path",4,2,7.61470984411521
"47","1","patrick",4,5,12.6477592827908
"48","1","quality",4,23,21.0301608006838
"49","1","regional",4,6,13.6492246225126
"50","1","semantic",4,17,19.3697766894196
"51","1","solutions",4,29,22.3034127751189
"52","1","strategy",4,39,23.930757075097
"53","1","successful",4,11,16.978638922798
"54","1","technologies",4,23,21.0301608006838
"55","1","value",4,36,23.4910943229677
"56","1","andrew",3,14,20.2985389895705
"57","1","approach",3,27,24.2993933747789
"58","1","bill",3,7,16.076146568234
"59","1","centricity",3,3,10.9147260724839
"60","1","differences",3,6,15.1371184938204
"61","1","doesnt",3,5,14.026484012077
"62","1","finance",3,10,18.2488764334135
"63","1","may",3,51,28.1735981958737
"64","1","mgmt",3,9,17.6070597236314
"65","1","okane",3,6,15.1371184938204
"66","1","order",3,13,19.8471010428278
"67","1","organizational",3,16,21.1119621066822
"68","1","time",3,37,26.2187488316738
"69","1","white",3,14,20.2985389895705
"70","1","will",3,38,26.3812017818237
"71","1","12",2,47,31.5102349781764
"72","1","analytics",2,51,32.0767168097886
"73","1","assess",2,9,20.0463094802948
"74","1","capability",2,17,24.45723953067
"75","1","common",2,20,25.5843972217934
"76","1","complexity",2,14,23.1106613466315
"77","1","confidential",2,51,32.0767168097886
"78","1","credit",2,6,17.2341871232338
"79","1","customer",2,36,29.66101932441
"80","1","cycle",2,28,27.9180162686891
"81","1","design",2,15,23.5891646567968
"82","1","development",2,26,27.4040369368982
"83","1","distributed",2,51,32.0767168097886
"84","1","distribution",2,14,23.1106613466315
"85","1","ecommerce",2,6,17.2341871232338
"86","1","enterpriselevel",2,3,12.4268322011762
"87","1","evaluate",2,15,23.5891646567968
"88","1","everything",2,15,23.5891646567968
"89","1","framework",2,14,23.1106613466315
"90","1","garbage",2,2,9.61470984411521
"91","1","image",2,12,22.0415420452914
"92","1","impact",2,27,27.6657867594133
"93","1","implementation",2,18,24.8536644023524
"94","1","infrastructure",2,25,27.1320198332988
"95","1","intended",2,51,32.0767168097886
"96","1","lead",2,11,21.4380705414353
"97","1","life",2,14,23.1106613466315
"98","1","logistics",2,4,14.4220647661728
"99","1","manufacturing",2,5,15.9696873776782
"100","1","marketing",2,22,26.2454254634929
"101","1","meet",2,19,25.2286501623545
"102","1","models",2,30,28.3965195788544
"103","1","need",2,34,29.2645944527276
"104","1","needed",2,15,23.5891646567968
"105","1","next",2,24,26.848896967349
"106","1","people",2,24,26.848896967349
"107","1","presentation",2,51,32.0767168097886
"108","1","process",2,33,29.0575478205539
"109","1","proprietary",2,51,32.0767168097886
"110","1","rings",2,3,12.4268322011762
"111","1","sales",2,21,25.9227837036924
"112","1","service",2,30,28.3965195788544
"113","1","single",2,9,20.0463094802948
"114","1","solve",2,6,17.2341871232338
"115","1","sourcing",2,7,18.3033064245739
"116","1","stewardship",2,10,20.7770422997358
"117","1","strategic",2,39,30.2161592939592
"118","1","summit",2,51,32.0767168097886
"119","1","supporting",2,51,32.0767168097886
"120","1","three",2,18,24.8536644023524
"121","1","together",2,10,20.7770422997358
"122","1","vendor",2,18,24.8536644023524
"123","1","vs",2,17,24.45723953067
"124","1","warranty",2,2,9.61470984411521
"125","1","within",2,15,23.5891646567968
"126","1","work",2,25,27.1320198332988
"127","1","10",1,50,38.5832309451311
"128","1","11",1,47,38.064823829854
"129","1","13",1,47,38.064823829854
"130","1","14",1,44,37.5122120041878
"131","1","15",1,51,38.7491421517601
"132","1","16",1,44,37.5122120041878
"133","1","17",1,44,37.5122120041878
"134","1","18",1,44,37.5122120041878
"135","1","19",1,39,36.5015615128215
"136","1","20",1,42,37.1224560485288
"137","1","2017",1,41,36.920560926256
"138","1","22",1,51,38.7491421517601
"139","1","23",1,51,38.7491421517601
"140","1","4",1,51,38.7491421517601
"141","1","5",1,50,38.5832309451311
"142","1","6",1,51,38.7491421517601
"143","1","7",1,51,38.7491421517601
"144","1","8",1,51,38.7491421517601
"145","1","9",1,48,38.2412143901278
"146","1","90",1,15,28.4960552524053
"147","1","absence",1,2,11.6147098441152
"148","1","accountability",1,7,22.1106613466315
"149","1","accuracy",1,7,22.1106613466315
"150","1","action",1,21,31.3151011264712
"151","1","actively",1,2,11.6147098441152
"152","1","agility",1,14,27.9180162686891
"153","1","aka",1,2,11.6147098441152
"154","1","amount",1,10,25.0989703946232
"155","1","applications",1,22,31.7048570821302
"156","1","appspecific",1,2,11.6147098441152
"157","1","architectural",1,7,22.1106613466315
"158","1","architecture",1,20,30.9063253166808
"159","1","assets",1,11,25.8975021600726
"160","1","associated",1,4,17.4220647661728
"161","1","assume",1,9,24.2162344817371
"162","1","asymmetric",1,2,11.6147098441152
"163","1","audience",1,51,38.7491421517601
"164","1","authorship",1,2,11.6147098441152
"165","1","available",1,8,23.2294196882304
"166","1","ben",1,2,11.6147098441152
"167","1","benefit",1,10,25.0989703946232
"168","1","best",1,29,34.019374765374
"169","1","beyond",1,16,29.036774610288
"170","1","biggest",1,6,20.8191496239549
"171","1","blocks",1,8,23.2294196882304
"172","1","box",1,4,17.4220647661728
"173","1","brazil",1,51,38.7491421517601
"174","1","building",1,17,29.5447023719203
"175","1","candidate",1,4,17.4220647661728
"176","1","choices",1,10,25.0989703946232
"177","1","classify",1,4,17.4220647661728
"178","1","consequences",1,2,11.6147098441152
"179","1","consider",1,12,26.6265045460125
"180","1","consistency",1,9,24.2162344817371
"181","1","constraints",1,7,22.1106613466315
"182","1","contact",1,46,37.8846396348554
"183","1","contain",1,51,38.7491421517601
"184","1","contested",1,3,15.0117947018973
"185","1","contingent",1,2,11.6147098441152
"186","1","copied",1,51,38.7491421517601
"187","1","create",1,27,33.4206742615768
"188","1","criticality",1,2,11.6147098441152
"189","1","davidmceddy",1,2,11.6147098441152
"190","1","days",1,14,27.9180162686891
"191","1","debra",1,4,17.4220647661728
"192","1","decisions",1,20,30.9063253166808
"193","1","decoupled",1,2,11.6147098441152
"194","1","degrees",1,2,11.6147098441152
"195","1","demands",1,6,20.8191496239549
"196","1","develop",1,16,29.036774610288
"197","1","different",1,28,33.7253711907467
"198","1","dimensions",1,7,22.1106613466315
"199","1","discipline",1,6,20.8191496239549
"200","1","displayed",1,51,38.7491421517601
"201","1","downsides",1,2,11.6147098441152
"202","1","easy",1,7,22.1106613466315
"203","1","ecomm",1,2,11.6147098441152
"204","1","eim",1,8,23.2294196882304
"205","1","elements",1,7,22.1106613466315
"206","1","ensure",1,7,22.1106613466315
"207","1","enterprisecentric",1,2,11.6147098441152
"208","1","enterprises",1,10,25.0989703946232
"209","1","entrepreneur",1,2,11.6147098441152
"210","1","essentials",1,5,19.2916154725656
"211","1","existing",1,14,27.9180162686891
"212","1","expensive",1,10,25.0989703946232
"213","1","express",1,51,38.7491421517601
"214","1","facilities",1,4,17.4220647661728
"215","1","file",1,5,19.2916154725656
"216","1","fit",1,14,27.9180162686891
"217","1","formal",1,5,19.2916154725656
"218","1","foundational",1,10,25.0989703946232
"219","1","four",1,14,27.9180162686891
"220","1","freedom",1,3,15.0117947018973
"221","1","friedman",1,13,27.2971217329817
"222","1","g00276963",1,2,11.6147098441152
"223","1","g00290905",1,2,11.6147098441152
"224","1","g00295309",1,7,22.1106613466315
"225","1","g00311161",1,3,15.0117947018973
"226","1","g00314770",1,2,11.6147098441152
"227","1","g00325792",1,6,20.8191496239549
"228","1","gartners",1,12,26.6265045460125
"229","1","george",1,2,11.6147098441152
"230","1","glossary",1,3,15.0117947018973
"231","1","govern",1,7,22.1106613466315
"232","1","greater",1,8,23.2294196882304
"233","1","hand",1,2,11.6147098441152
"234","1","heterogeneity",1,2,11.6147098441152
"235","1","highintegrity",1,2,11.6147098441152
"236","1","highquality",1,3,15.0117947018973
"237","1","identify",1,23,32.0772847127978
"238","1","immediate",1,3,15.0117947018973
"239","1","including",1,51,38.7491421517601
"240","1","incorporates",1,2,11.6147098441152
"241","1","industry",1,20,30.9063253166808
"242","1","inform",1,2,11.6147098441152
"243","1","invariably",1,3,15.0117947018973
"244","1","jobs",1,2,11.6147098441152
"245","1","landscape",1,18,30.0235894037947
"246","1","leads",1,7,22.1106613466315
"247","1","least",1,10,25.0989703946232
"248","1","legacy",1,3,15.0117947018973
"249","1","legally",1,51,38.7491421517601
"250","1","lesser",1,2,11.6147098441152
"251","1","level",1,21,31.3151011264712
"252","1","leverages",1,4,17.4220647661728
"253","1","likely",1,9,24.2162344817371
"254","1","limited",1,14,27.9180162686891
"255","1","logan",1,6,20.8191496239549
"256","1","low",1,14,27.9180162686891
"257","1","lower",1,10,25.0989703946232
"258","1","mapped",1,4,17.4220647661728
"259","1","mashupportal",1,2,11.6147098441152
"260","1","materials",1,51,38.7491421517601
"261","1","measure",1,13,27.2971217329817
"262","1","metrics",1,16,29.036774610288
"263","1","model",1,40,36.7136802387384
"264","1","monday",1,11,25.8975021600726
"265","1","months",1,18,30.0235894037947
"266","1","morning",1,9,24.2162344817371
"267","1","multidomain",1,5,19.2916154725656
"268","1","needs",1,21,31.3151011264712
"269","1","neutrality",1,2,11.6147098441152
"270","1","note",1,3,15.0117947018973
"271","1","objects",1,3,15.0117947018973
"272","1","official",1,4,17.4220647661728
"273","1","options",1,15,28.4960552524053
"274","1","organic",1,3,15.0117947018973
"275","1","organization",1,35,35.5949218971394
"276","1","organizations",1,30,34.3034101744629
"277","1","otherwise",1,51,38.7491421517601
"278","1","outcomes",1,22,31.7048570821302
"279","1","overall",1,21,31.3151011264712
"280","1","owned",1,51,38.7491421517601
"281","1","patterns",1,10,25.0989703946232
"282","1","paulo",1,51,38.7491421517601
"283","1","permission",1,51,38.7491421517601
"284","1","persistence",1,7,22.1106613466315
"285","1","perspective",1,9,24.2162344817371
"286","1","plan",1,21,31.3151011264712
"287","1","platformcentric",1,2,11.6147098441152
"288","1","please",1,46,37.8846396348554
"289","1","practicing",1,2,11.6147098441152
"290","1","prioritize",1,8,23.2294196882304
"291","1","prioritized",1,6,20.8191496239549
"292","1","protected",1,51,38.7491421517601
"293","1","proven",1,6,20.8191496239549
"294","1","publicly",1,51,38.7491421517601
"295","1","purpose",1,8,23.2294196882304
"296","1","quantify",1,2,11.6147098441152
"297","1","questions",1,21,31.3151011264712
"298","1","range",1,10,25.0989703946232
"299","1","realtime",1,19,30.4765776757981
"300","1","recipients",1,51,38.7491421517601
"301","1","recommended",1,47,38.064823829854
"302","1","records",1,8,23.2294196882304
"303","1","related",1,10,25.0989703946232
"304","1","representative",1,46,37.8846396348554
"305","1","requires",1,13,27.2971217329817
"306","1","research",1,48,38.2412143901278
"307","1","rise",1,11,25.8975021600726
"308","1","roadmap",1,10,25.0989703946232
"309","1","robustness",1,2,11.6147098441152
"310","1","são",1,56,39.5327261128043
"311","1","seek",1,8,23.2294196882304
"312","1","select",1,8,23.2294196882304
"313","1","seven",1,3,15.0117947018973
"314","1","sharing",1,17,29.5447023719203
"315","1","silos",1,13,27.2971217329817
"316","1","singleuse",1,2,11.6147098441152
"317","1","sole",1,51,38.7491421517601
"318","1","solution",1,23,32.0772847127978
"319","1","solves",1,3,15.0117947018973
"320","1","source",1,36,35.8309443258523
"321","1","span",1,2,11.6147098441152
"322","1","specific",1,16,29.036774610288
"323","1","stanfield",1,2,11.6147098441152
"324","1","starting",1,4,17.4220647661728
"325","1","statistician",1,4,17.4220647661728
"326","1","steve",1,3,15.0117947018973
"327","1","style",1,5,19.2916154725656
"328","1","styles",1,11,25.8975021600726
"329","1","success",1,19,30.4765776757981
"330","1","symmetric",1,2,11.6147098441152
"331","1","system",1,18,30.0235894037947
"332","1","systems",1,32,34.8441295323456
"333","1","tactical",1,10,25.0989703946232
"334","1","take",1,13,27.2971217329817
"335","1","target",1,12,26.6265045460125
"336","1","task",1,5,19.2916154725656
"337","1","technical",1,13,27.2971217329817
"338","1","technologyenabled",1,4,17.4220647661728
"339","1","ted",1,13,27.2971217329817
"340","1","think",1,14,27.9180162686891
"341","1","trust",1,12,26.6265045460125
"342","1","truth",1,5,19.2916154725656
"343","1","understanding",1,33,35.1019419399124
"344","1","uniformity",1,4,17.4220647661728
"345","1","unintended",1,2,11.6147098441152
"346","1","upon",1,3,15.0117947018973
"347","1","us",1,7,22.1106613466315
"348","1","useful",1,2,11.6147098441152
"349","1","vertical",1,5,19.2916154725656
"350","1","vision",1,20,30.9063253166808
"351","1","warehouse",1,28,33.7253711907467
"352","1","whether",1,3,15.0117947018973
"353","1","without",1,51,38.7491421517601
"354","1","written",1,51,38.7491421517601
"355","1","wrong",1,4,17.4220647661728
"356","1","yes",1,8,23.2294196882304
"357","10","data",68,51,-1.86899917850851
"358","10","pricing",48,15,1.09125528079042
"359","10","gartner",47,56,1.72066835333022
"360","10","analytics",36,51,4.25320355604435
"361","10","rights",35,56,4.61587612077749
"362","10","2018",34,56,4.90056089963362
"363","10","affiliates",33,56,5.19374497559108
"364","10","inc",33,56,5.19374497559108
"365","10","andor",32,56,5.49595150251626
"366","10","cost",32,22,4.40769898894373
"367","10","reserved",31,56,5.80775347445257
"368","10","cloud",23,30,7.58322459757726
"369","10","vendors",23,25,7.24554287755169
"370","10","models",21,30,8.3584716969236
"371","10","licensing",19,3,4.03106137386401
"372","10","software",19,26,8.88942193762119
"373","10","costs",18,13,7.69664063453273
"374","10","options",17,15,8.43932227677473
"375","10","management",16,46,11.7903918106274
"376","10","trends",16,22,9.86713060758103
"377","10","new",14,44,12.9188632372746
"378","10","subscription",13,6,7.55321199823996
"379","10","3",12,56,15.1286139881282
"380","10","based",12,19,11.6629543336001
"381","10","integration",12,26,12.668614027882
"382","10","per",12,5,7.3826278223023
"383","10","user",12,18,11.4896021420832
"384","10","year",12,6,7.96719349237806
"385","10","2017",11,41,14.9270445043493
"386","10","additional",11,12,10.7651403007514
"387","10","maintenance",11,7,8.93937734589105
"388","10","support",11,33,14.1917738078984
"389","10","use",11,51,15.6663429507471
"390","10","2015",10,8,9.94170730868097
"391","10","current",10,19,13.0433398289575
"392","10","eg",10,14,11.9483288910109
"393","10","number",10,9,10.3640434658726
"394","10","onpremises",10,14,11.9483288910109
"395","10","toolkit",10,13,11.6825989749644
"396","10","2016",9,18,13.635314886141
"397","10","deals",9,2,5.27485984123058
"398","10","increase",9,9,10.9978849655257
"399","10","platform",9,29,15.4500143509452
"400","10","price",9,7,10.0416317898366
"401","10","will",9,38,16.4784709657916
"402","10","2",8,55,19.0376835700066
"403","10","contract",8,6,10.0642621217915
"404","10","fiscal",8,2,5.61470984411521
"405","10","license",8,3,7.25690719973387
"406","10","mdm",8,16,14.036774610288
"407","10","named",8,3,7.25690719973387
"408","10","negotiate",8,4,8.42206476617281
"409","10","practices",8,23,15.5065988446268
"410","10","source",8,36,17.3211693215253
"411","10","tcs",8,3,7.25690719973387
"412","10","1",7,55,20.344079140574
"413","10","5",7,50,19.9315685693242
"414","10","bi",7,28,17.4220647661728
"415","10","december",7,3,7.75488750216347
"416","10","protection",7,5,9.96578428466209
"417","10","q1",7,2,6
"418","10","q2",7,2,6
"419","10","q3",7,6,10.7548875021635
"420","10","q4",7,2,6
"421","10","rfp",7,3,7.75488750216347
"422","10","server",7,4,9
"423","10","tactics",7,2,6
"424","10","technology",7,43,19.2787942641063
"425","10","term",7,5,9.96578428466209
"426","10","timing",7,3,7.75488750216347
"427","10","users",7,25,16.9315685693242
"428","10","12",6,47,21.1214574406224
"429","10","7",6,51,21.5011728539022
"430","10","average",6,8,12.8895696853458
"431","10","best",6,29,18.876713563032
"432","10","focus",6,30,19.0343194889524
"433","10","hadoop",6,15,15.811927067616
"434","10","information",6,51,21.5011728539022
"435","10","key",6,47,21.1214574406224
"436","10","model",6,40,20.371733181199
"437","10","negotiating",6,2,6.4447848426729
"438","10","optimization",6,19,16.9108818470436
"439","10","saas",6,7,12.2687916461764
"440","10","t4",6,2,6.4447848426729
"441","10","tco",6,4,9.66717726400934
"442","10","templates",6,3,8.32976357176277
"443","10","tools",6,23,17.7990841859804
"444","10","value",6,36,19.881919564862
"445","10","vendor",6,18,16.6595271435255
"446","10","yoy",6,3,8.32976357176277
"447","10","10",5,50,23.1566745997019
"448","10","18",5,44,22.5138762518701
"449","10","8",5,51,23.256250289198
"450","10","components",5,14,16.7556838130685
"451","10","dbms",5,11,15.5430225975296
"452","10","deal",5,3,9.00969764724259
"453","10","discounts",5,3,9.00969764724259
"454","10","etc",5,16,17.4271341358512
"455","10","existing",5,14,16.7556838130685
"456","10","expensive",5,10,15.0637641270212
"457","10","identify",5,23,19.251971023178
"458","10","informatica",5,7,13.2702569858982
"459","10","millions",5,4,10.4562804815107
"460","10","optimize",5,10,15.0637641270212
"461","10","procurement",5,6,12.4951244744128
"462","10","program",5,16,17.4271341358512
"463","10","research",5,48,22.9514049559236
"464","10","sap",5,11,15.5430225975296
"465","10","save",5,3,9.00969764724259
"466","10","scenario",5,4,10.4562804815107
"467","10","shelfware",5,3,9.00969764724259
"468","10","standard",5,13,16.3830386931055
"469","10","template",5,4,10.4562804815107
"470","10","two",5,7,13.2702569858982
"471","10","upcoming",5,2,6.97085365434048
"472","10","using",5,30,20.5880349470935
"473","10","vs",5,17,17.7319794691257
"474","10","yearend",5,2,6.97085365434048
"475","10","2014",4,5,12.6477592827908
"476","10","33",4,17,19.3697766894196
"477","10","ai",4,17,19.3697766894196
"478","10","aware",4,5,12.6477592827908
"479","10","business",4,48,25.0712893886854
"480","10","clear",4,13,17.8962422966995
"481","10","costsuser",4,2,7.61470984411521
"482","10","distributions",4,11,16.978638922798
"483","10","domain",4,13,17.8962422966995
"484","10","ehtisham",4,6,13.6492246225126
"485","10","higher",4,4,11.4220647661728
"486","10","implementation",4,18,19.6837394009101
"487","10","initiatives",4,27,21.9108992572499
"488","10","issues",4,37,23.6415928349145
"489","10","landscape",4,18,19.6837394009101
"490","10","leaders",4,22,20.7859938448556
"491","10","licenses",4,2,7.61470984411521
"492","10","maintain",4,5,12.6477592827908
"493","10","may",4,51,25.4042914678171
"494","10","metric",4,2,7.61470984411521
"495","10","metrics",4,16,19.036774610288
"496","10","microsoft",4,17,19.3697766894196
"497","10","negotiation",4,2,7.61470984411521
"498","10","nodes",4,3,9.84186970045503
"499","10","open",4,28,22.1106613466315
"500","10","opportunity",4,13,17.8962422966995
"501","10","optimal",4,7,14.4959515025163
"502","10","oracle",4,13,17.8962422966995
"503","10","private",4,5,12.6477592827908
"504","10","process",4,33,23.0131537011954
"505","10","public",4,7,14.4959515025163
"506","10","quality",4,23,21.0301608006838
"507","10","records",4,8,15.2294196882304
"508","10","reduce",4,11,16.978638922798
"509","10","reviews",4,2,7.61470984411521
"510","10","sas",4,10,16.4551142048484
"511","10","talend",4,6,13.6492246225126
"512","10","terms",4,7,14.4959515025163
"513","10","upfront",4,6,13.6492246225126
"514","10","usage",4,11,16.978638922798
"515","10","vendorspecific",4,2,7.61470984411521
"516","10","zaidi",4,6,13.6492246225126
"517","10","0",3,17,21.4812645447262
"518","10","15",3,51,28.1735981958737
"519","10","17",3,44,27.2742551126751
"520","10","19",3,39,26.5394346939753
"521","10","21",3,34,25.7036569660627
"522","10","22",3,51,28.1735981958737
"523","10","28",3,24,23.5819033364933
"524","10","35",3,22,23.0518626913387
"525","10","access",3,19,22.1588093604872
"526","10","action",3,21,22.7684802193815
"527","10","adaptive",3,8,16.8895696853458
"528","10","alternatives",3,2,8.4447848426729
"529","10","always",3,14,20.2985389895705
"530","10","approach",3,27,24.2993933747789
"531","10","ask",3,8,16.8895696853458
"532","10","become",3,11,18.8294702700023
"533","10","checklists",3,2,8.4447848426729
"534","10","commit",3,2,8.4447848426729
"535","10","competitive",3,7,16.076146568234
"536","10","confidential",3,51,28.1735981958737
"537","10","customer",3,36,26.0518445663043
"538","10","customers",3,12,19.3595109151568
"539","10","discount",3,2,8.4447848426729
"540","10","domains",3,6,15.1371184938204
"541","10","eliminate",3,2,8.4447848426729
"542","10","end",3,13,19.8471010428278
"543","10","expand",3,15,20.7188176632245
"544","10","follow",3,5,14.026484012077
"545","10","get",3,13,19.8471010428278
"546","10","governance",3,36,26.0518445663043
"547","10","hour",3,2,8.4447848426729
"548","10","importance",3,5,14.026484012077
"549","10","important",3,20,22.4712688547499
"550","10","increasing",3,15,20.7188176632245
"551","10","infrastructure",3,25,23.8305756028176
"552","10","initial",3,3,10.9147260724839
"553","10","inquiries",3,2,8.4447848426729
"554","10","land",3,3,10.9147260724839
"555","10","less",3,24,23.5819033364933
"556","10","leverage",3,23,23.3226461420375
"557","10","m",3,12,19.3595109151568
"558","10","one",3,17,21.4812645447262
"559","10","operational",3,26,24.0694934641642
"560","10","payment",3,7,16.076146568234
"561","10","perpetual",3,3,10.9147260724839
"562","10","please",3,46,27.5450385633739
"563","10","power",3,8,16.8895696853458
"564","10","prepay",3,2,8.4447848426729
"565","10","reduction",3,7,16.076146568234
"566","10","right",3,30,24.9412100845609
"567","10","risk",3,17,21.4812645447262
"568","10","services",3,28,24.5209314109069
"569","10","solutions",3,29,24.7346945581596
"570","10","stakeholders",3,9,17.6070597236314
"571","10","subscriptionbased",3,2,8.4447848426729
"572","10","taken",3,6,15.1371184938204
"573","10","thirdparty",3,5,14.026484012077
"574","10","time",3,37,26.2187488316738
"575","10","total",3,9,17.6070597236314
"576","10","transition",3,4,12.6671772640093
"577","10","try",3,7,16.076146568234
"578","10","unlimited",3,3,10.9147260724839
"579","10","usd",3,6,15.1371184938204
"580","10","years",3,19,22.1588093604872
"581","10","10000",2,4,14.4220647661728
"582","10","12000",2,2,9.61470984411521
"583","10","14",2,44,31.0527803855505
"584","10","20",2,42,30.7301386257501
"585","10","200",2,10,20.7770422997358
"586","10","2019",2,12,22.0415420452914
"587","10","23",2,51,32.0767168097886
"588","10","24",2,34,29.2645944527276
"589","10","25",2,29,28.1613937702464
"590","10","30",2,35,29.4656388801945
"591","10","36",2,13,22.5966820148406
"592","10","4",2,51,32.0767168097886
"593","10","40",2,23,26.5537227567408
"594","10","54",2,7,18.3033064245739
"595","10","7300",2,2,9.61470984411521
"596","10","9",2,48,31.6562518894066
"597","10","adam",2,11,21.4380705414353
"598","10","adopt",2,8,19.2294196882304
"599","10","alternative",2,9,20.0463094802948
"600","10","annual",2,7,18.3033064245739
"601","10","attached",2,2,9.61470984411521
"602","10","audit",2,6,17.2341871232338
"603","10","away",2,2,9.61470984411521
"604","10","aws",2,5,15.9696873776782
"605","10","bargaining",2,2,9.61470984411521
"606","10","basic",2,9,20.0463094802948
"607","10","big",2,22,26.2454254634929
"608","10","buy",2,7,18.3033064245739
"609","10","buyers",2,7,18.3033064245739
"610","10","buying",2,9,20.0463094802948
"611","10","c",2,3,12.4268322011762
"612","10","can",2,39,30.2161592939592
"613","10","change",2,22,26.2454254634929
"614","10","collaboration",2,14,23.1106613466315
"615","10","common",2,20,25.5843972217934
"616","10","competitors",2,6,17.2341871232338
"617","10","compute",2,12,22.0415420452914
"618","10","concurrent",2,2,9.61470984411521
"619","10","conditions",2,6,17.2341871232338
"620","10","connectors",2,4,14.4220647661728
"621","10","contact",2,46,31.3610776787984
"622","10","contracts",2,4,14.4220647661728
"623","10","cpucore",2,2,9.61470984411521
"624","10","create",2,27,27.6657867594133
"625","10","customized",2,4,14.4220647661728
"626","10","dates",2,2,9.61470984411521
"627","10","defined",2,12,22.0415420452914
"628","10","dell",2,5,15.9696873776782
"629","10","deployments",2,10,20.7770422997358
"630","10","difficult",2,9,20.0463094802948
"631","10","discounting",2,2,9.61470984411521
"632","10","distribution",2,14,23.1106613466315
"633","10","donald",2,7,18.3033064245739
"634","10","dont",2,28,27.9180162686891
"635","10","due",2,6,17.2341871232338
"636","10","efficiency",2,13,22.5966820148406
"637","10","either",2,6,17.2341871232338
"638","10","ela",2,2,9.61470984411521
"639","10","emerging",2,14,23.1106613466315
"640","10","enterprise",2,34,29.2645944527276
"641","10","enterprisewide",2,5,15.9696873776782
"642","10","environment",2,12,22.0415420452914
"643","10","examples",2,6,17.2341871232338
"644","10","fee",2,3,12.4268322011762
"645","10","feinberg",2,7,18.3033064245739
"646","10","fewer",2,4,14.4220647661728
"647","10","find",2,10,20.7770422997358
"648","10","fit",2,14,23.1106613466315
"649","10","fixed",2,2,9.61470984411521
"650","10","flexible",2,15,23.5891646567968
"651","10","free",2,7,18.3033064245739
"652","10","functionality",2,7,18.3033064245739
"653","10","g00271850",2,2,9.61470984411521
"654","10","gartners",2,12,22.0415420452914
"655","10","given",2,4,14.4220647661728
"656","10","grow",2,5,15.9696873776782
"657","10","h",2,10,20.7770422997358
"658","10","hana",2,3,12.4268322011762
"659","10","hardware",2,5,15.9696873776782
"660","10","high",2,10,20.7770422997358
"661","10","hourly",2,2,9.61470984411521
"662","10","huge",2,6,17.2341871232338
"663","10","ibm",2,17,24.45723953067
"664","10","impact",2,27,27.6657867594133
"665","10","including",2,51,32.0767168097886
"666","10","inclusive",2,3,12.4268322011762
"667","10","informed",2,7,18.3033064245739
"668","10","intended",2,51,32.0767168097886
"669","10","interest",2,5,15.9696873776782
"670","10","investments",2,7,18.3033064245739
"671","10","iot",2,20,25.5843972217934
"672","10","ipaas",2,6,17.2341871232338
"673","10","itpam",2,2,9.61470984411521
"674","10","january",2,6,17.2341871232338
"675","10","keep",2,12,22.0415420452914
"676","10","leader",2,11,21.4380705414353
"677","10","levers",2,5,15.9696873776782
"678","10","like",2,4,14.4220647661728
"679","10","limited",2,14,23.1106613466315
"680","10","list",2,9,20.0463094802948
